topic_id,topic_name,metadata,property_id,equipment_id,unit,kind,dis
109619,Floor_01/DEV36228_VAVRH_1_01/SpaceTemp,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/SpaceTemp
109598,Floor_01/DEV36228_VAVRH_1_01/UNITOUCH CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36228_VAVRH_1_01/UNITOUCH CO2
109599,Floor_01/DEV36228_VAVRH_1_01/UNITOUCH Humidity,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/UNITOUCH Humidity
109561,Floor_01/DEV36228_VAVRH_1_01/UNITOUCHSetpoint,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/UNITOUCHSetpoint
109600,Floor_01/DEV36228_VAVRH_1_01/UNITOUCH SpaceTemp,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/UNITOUCH SpaceTemp
109597,Floor_01/DEV36228_VAVRH_1_01/VAV Actuator Command,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/VAV Actuator Command
109604,Floor_01/DEV36228_VAVRH_1_01/VAV Actuator Position,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/VAV Actuator Position
109605,Floor_01/DEV36228_VAVRH_1_01/VAV Differential Pressure,"{""units"": ""inchesOfWater"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,inchesOfWater,float,DEV36228_VAVRH_1_01/VAV Differential Pressure
108908,Floor_02/DEV205001_FPTU_02_01/ActFlowSP,"{""units"": ""cubicFeetPerMinute"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,cubicFeetPerMinute,float,DEV205001_FPTU_02_01/ActFlowSP
108505,Floor_02/DEV205001_FPTU_02_01/ComSensor 1 Humidity,"{""units"": ""UNKNOWN UNITS"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,UNKNOWN UNITS,float,DEV205001_FPTU_02_01/ComSensor 1 Humidity
108502,Floor_02/DEV205001_FPTU_02_01/EffectSP,"{""units"": ""UNKNOWN UNITS"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,UNKNOWN UNITS,float,DEV205001_FPTU_02_01/EffectSP
108501,Floor_02/DEV205001_FPTU_02_01/FanStatus,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV205001_FPTU_02_01/FanStatus
108503,Floor_02/DEV205001_FPTU_02_01/Heat2,"{""units"": ""UNKNOWN UNITS"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,UNKNOWN UNITS,float,DEV205001_FPTU_02_01/Heat2
108907,Floor_02/DEV205001_FPTU_02_01/SpaceTemp,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV205001_FPTU_02_01/SpaceTemp
108905,Floor_02/DEV205001_FPTU_02_01/SpaceTemp 1,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV205001_FPTU_02_01/SpaceTemp 1
108504,Floor_02/DEV205001_FPTU_02_01/UNITOUCH Humidity,"{""units"": ""UNKNOWN UNITS"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,UNKNOWN UNITS,float,DEV205001_FPTU_02_01/UNITOUCH Humidity
108506,Floor_02/DEV205001_FPTU_02_01/VAV Differential Pressure,"{""units"": ""UNKNOWN UNITS"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,UNKNOWN UNITS,float,DEV205001_FPTU_02_01/VAV Differential Pressure
108906,Floor_02/DEV205001_FPTU_02_01/WW Entering Temp,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV205001_FPTU_02_01/WW Entering Temp
108500,Floor_02/DEV205009_VAV_02_02/NO NAME! PLEASE NAME THIS.,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV205009_VAV_02_02/NO NAME! PLEASE NAME THIS.
